,comments,sentiment,types
491,ได้เนื้อหาใหม่ๆ แต่อยากให้อธิบายเกี่ยวกับคำต่างๆมากกว่านี้เพราะต้องออกไปหาเพิ่มเติมว่าคำนี้คืออะไร,neg,อยาก
493,สอนอะไรที่นำไปใช้ได้จริง สั้นๆ ได้ใจความ,neg,แต่และอื่นๆ
498,เวลานานไป และบางฟังก์ชัน Excel ปัจจุบันไม่รองรับ,neg,ไม่
499,เนื้อหาละเอียด ไม่ไวจนเกินไป,neg,ไม่
511,advance มากกว่าที่คิด แต่ก็สามารถนำไปใช้ประโยชน์ได้จริง,neg,แต่และอื่นๆ
512,จากคนที่ทำไม่เป็นพอไปวัดไปวา หมาไม่เห่า ดีมากจริงๆ,neg,ไม่
519,พื้นฐานการเขียน API ด้วย go ครบถ้วนครับ เช่นเคย ผู้เรียนต้องมีพื้นฐานการเขียน API มาบ้าง เพื่อความเข้าใจ,neg,แต่และอื่นๆ
522,"การจะเข้าใจเนื้อหาคอร์สนี้ require ความรู้อื่นๆค่อนข้างเยอะ เช่น docker, kube, tools ต่าง ๆ จึงไม่เหมาะจะเป็นคอร์สเริ่มต้นในการสร้าง api (ควรมีความรู้มาก่อนประมาณนึง)",neg,ไม่
526,จากตัวอย่าง code มีการอธิบายข้ามในแต่ละบท ทำให้หลายครั้งไม่สามารถ ทดลองทำตามได้  เลยต้องฟัง concept แทนการทดลองและทำความเข้าใจ,neg,ไม่
528,ข้ามขั้นตอนไปหลายขั้นตอนเหมือนจะต้องมีพื้นฐานมาพอสมควรครับ,neg,แต่และอื่นๆ
530,"ดีขึ้นกว่า Go Fundamentals เพราะคอร์สนี้ค่อนข้างอธิบายที่มาที่ไปมากขึ้นในช่วงแรก แต่พอมาช่วง Deployment ใส่ยับอีกแล้ว น่าจะเกริ่นเรื่อง Docker นิดหน่อย สำหรับคนไม่เคยใช้ สอนติดตั้งหรือตั้งค่าอธิบายนิดหนึ่งก็ยังดี

และที่สำคัญในคอร์สนี้โค้ดค่อนข้างเยอะ แต่ไม่มีให้ก๊อปหรือให้ดูเลย มาถึงก็พ่นโค้ดออกมา",neg,แต่และอื่นๆ
538,required ความรู้ go basic เยอะ แต่ดีสำหรับผู้ที่มีพื้นฐานแน่นแล้ว ซึ่งคอร์สนี้ดีแล้วครับ,neg,แต่และอื่นๆ
552,"โดยรวมเป็นคอร์สอธิบายการใช้งาน AppSheet เบื้องต้นได้ดีครับ 

ส่วนที่อาจจะทำให้ยากสำหรับคนไม่มีพื้นฐาน คือ การทำความเข้าใจสูตรและ Function ต่างๆ ซึ่งมีรายละเอียดที่ต้องศึกษาเพิ่มเติม รวมถึงการทำความเข้าใจในเรื่องหลักการการสร้างตารางและฐานข้อมูล หากเพิ่มเติมรายละเอียดในเรื่องดังกล่าวมากขึ้น อาจช่วยให้ผู้เรียนเข้าใจได้ลึกซึ่งขึ้นครับ

อีกส่วน คือ ตัวอย่างของโจทย์ซึ่งอาจจะเป็นด้านเดียว หากประยุกต์นำ template ที่มีมาใช้หรือแสดงให้เห็นถึงความหลากหลายในการนำไปใช้ได้ จะช่วยให้ผู้เรียนสามารถจินตนาการในการเอาไปใช้งานในรูปแบบอื่นๆ ได้หลากหลายขึ้นครับ",neg,ไม่
554,อยากให้อธิบายตรงสูตรในหน้าapp formulaมากกว่านี้ถึงเหตุและผลในการใส่สูตรนั้นๆเพื่อจะได้เข้าใจและนำไปadaptใช้ได้มากกว่านี้ค่ะ และการติดต่อสอบถามเจ้าหน้าที่ค่อนข้างยากและได้คำตอบค่อนข้างช้าค่ะ,neg,อยาก
558,เรื่องพื้นฐานให้เต็มครับ แต่เรื่องเทคนิคอยากให้ยกตัวอย่างมากกว่าเคส เบิกเงิน และก็การทำงานข้าม Base,neg,อยาก
559,อยากได้ project ทำเพิ่ม,neg,แต่และอื่นๆ
562,ผู้สอนแบ่งหัวข้อเป็นลำดับที่เข้าใจง่าย มีตัวอย่างประกอบชัดเจนในแต่ละหัวข้อ เนื้อหาครอบคลุมทุกส่วน น้ำเสียง การอธิบายน่าฟังและฟังสบายค่ะ,neg,แต่และอื่นๆ
568,ดีมากเลยครับ เข้าใจแต่ละกระบวนการมากขึ้น อยากให้เน้นตัวอย่าง หรือวิธีการเยอะๆ จะได้เป็นเคสตัวอย่างให้ผู้เรียนเข้าใจมากขึ้น,neg,อยาก
574,ช่วยให้เข้าใจแต่ละ tools ได้มากขึ้น,neg,แต่และอื่นๆ
593,ผู้สอนบรรยายเนื้อหาได้ค่อนข้างกระชับ แต่อาจจะมีบางส่วนที่ต้องไปศึกษาเองเพิ่มเติม,neg,แต่และอื่นๆ
596,อยากให้มี case study จริง สอดแทรกในคอร์สมากกว่านี้,neg,อยาก
619,"สำหรับคนที่เริ่มจาก 0 จะงงมากเพราะหลายครั้งไม่รู้ว่าตัวแปรโผล่มาจากไหน ,, mini project น่าจะสอนแบบให้พิมพ์ตามพร้อมอธิบายไปด้วย มากกว่าที่มีไฟล์ที่เสร็จแล้วแบบนี้ ,, โดยรวมถือว่าโอเคค่ะ เข้าใจมากกว่าไปอ่าน docs อิ้งเอง",neg,ไม่
620,สอนดีครับ แต่อยากให้มีการชี้ที่สไลด์ และอยากให้ตัวอย่างมีความชัดเจนกว่านี้ เช่นการตั้งชื่อ functionในตัวอย่าง หรือตัวแปร เพื่อลดความสับสน,neg,อยาก
621,คอร์สดีครับ แต่ exercise ค่อนข้างเข้าถึงยากสำหรับผู้เริ่มต้นใหม่ ต้องมีพื้นฐานภาษาอื่นมาก่อน ถึงสามารถมี keyword สำหรับการแก้ปัญหาได้ อยากให้การทำแบบฝึกหักเป็นแบบทบทวนความรุ้มากกว่าการ resolve ด้วยการ research ครับ,neg,อยาก
623,อยากให้อธิบายรายละเอียดมากกว่านี้ครับ กระชับเกินไป ผมว่าคอร์สนี้เหมาะสำครับคนมีพื้นฐานมาแล้วนิดหน่อย,neg,อยาก
628,สอนได้ตรงกับที่คาดหวัง แต่ผู้เรียนต้องมีพื้นฐานโปรแกรมมิ่ง มาก่อน,neg,แต่และอื่นๆ
629,"เป็นคอร์สที่ดี และเหมาะกับผู้ที่มีความรู้เรื่อง programming มาแล้ว
อาจจะไม่เหมาะกับผู้ที่ไม่รู้มาก่อน",neg,ไม่
630,มีรายละเอียดที่น่าสนใจดี แต่ด้วยเวลา อาจจะเร่งรัดไปบางหัวข้อครับ,neg,แต่และอื่นๆ
631,สำหรับใครที่มีประสบการณ์จากภาษาอื่นมาก่อน คอร์สนี้ถือว่าสรุปรายละเอียด Fundamental ได้ดีครับ,neg,แต่และอื่นๆ
633,เป็นคอร์สพื้นฐาน Go ที่ครบทุกกระบวนท่า ดีงามครับ,neg,แต่และอื่นๆ
636,บางหัวข้ออาจจะต้องมี ทักษะหรือประสบการณ์ พอสมควรจึงจะเข้าใจ use case,neg,แต่และอื่นๆ
638,ในเรื่องของการ run และเกิด error ส่วนนี้ยังไม่ครอบคลุมและควรมี live chat ในการสอบถามปัญหา error ต่างๆ,neg,ไม่
639,"สำหรับคนที่เริ่มจาก 0 เลย
เป็นการสอนที่ค่อนข้าง งง มาก
หลายอย่างไม่รู้ว่าเป็นอะไรมาจากไหน",neg,ไม่
640,ควรมีพื้นการเขียนโปรแกรมเล็กน้อย,neg,แต่และอื่นๆ
646,อยากให้มี Source code ในแต่ละ demo ไว้ด้วย,neg,อยาก
648,"คนบรรยายพูดเหมือนคนเรียนรู้ทุกอย่างอยู่แล้ว ไม่มีเกริ่น ไม่มีที่มาที่ไป มาถึงใส่ใส่เลย ผมคิดว่าคอร์สนี้ไม่เหมาะกับคนที่เริ่มต้นภาษา Go, ที่จริงเรียกว่าไม่เหมาะกับคนที่เริ่มต้นทุกภาษาเลยก็ได้ อธิบายไม่ละเอียด ไม่ชัดเจน คลุมเครือ เหมือนเข้าใจอยู่คนเดียว",neg,ไม่
652,ไม่ให้ 5 เพราะว่า มันก็มีความอธิบายแฝงเยอะ พวกทับศัพย์ คืออารมณ์แบบว่าเหมาะกับคนที่ไม่มีพื้นฐานจริง แต่ถ้าไม่มีคนมาช่วยอธิบายศัพย์ที่สอยมาอาจจะใช้เวลาเพิ่มสำหรับการเรียนรู้,neg,ไม่
655,ทำให้เข้าใจถึงวัตถุประสงค์ของฐานข้อมูลแต่ละชนิดชัดเจน ว่าแต่ละตัวมีจุดเด่นอะไรบ้าง สามารถเลือกชนิดฐานข้อมูลได้เหมาะสมขึ้น ทำให้เกิดระบบที่มีประสิทธิภาพยิ่งขึ้น,neg,แต่และอื่นๆ
665,เปิดโลกมาก ~  ถ้าไม่ได้เรียนก็คงไม่รู้ว่ามีวิธีการวิเคราะห์อยากถูกต้องในการจัดระเบียบโค้ด,neg,ไม่
666,อธิบายได้ดี มีละครสมมติประกอบ แต่คำศัพท์บางคำอาจจะยังไม่เข้าใจ ต้องเรียนซ้ำอีก และไปเรียนรู้เพิ่มเติมได้จากนอกคอร์ส,neg,แต่และอื่นๆ
670,อยากให้ลงลึกเนื้อหาที่สอนมากกว่านี้หน่อยครับ,neg,อยาก
672,เราคิดว่านี่เป็นคอร์สที่เด็กจบใหม่ที่จะมาสาย Software Engineer ทุกคนควรเรียนนะ ถ้าเป็นไปได้ อยากให้สถาบันการศึกษาซื้อให้เด็กปี 4 ทั้งรุ่นเรียนเลยแหละ (หรือใครจะไม่ได้มาสายนี้ ก็ไม่ต้องเรียนก็ได้ 😅),neg,อยาก
683,ผมเป็นแฟนช่องยูทูปอยู่แล้ว พอมาเจอคอร์สนี้ ก็ตัดสินใจเรียนไม่ยากเลยครับ ขอบคุณที่มาแชร์ ปสก ดีๆครับ,neg,ไม่
684,"เป็นการสอนที่มุ่งพัฒนา แนวคิด idea ต่างๆ ให้กับ developer ได้ ไม่ว่าจะเป็น Junior, Senior หรือ Lead",neg,ไม่
689,"เป็น นศ. มาเรียนคอร์สนี้ให้ผ่านเเค่บางหัวข้อ บางหัวข้อมัน common sense มากๆ เช่น clean code, testing, automate testing เเละบท commnon mistake ทั้งบท น่าจะมีเเนะนำให้ลึกว่านี้ บทที่ให้ผ่านคือ System Design มหาลัยไม่ค่อยสอนบอกภาพรวมได้ดี",neg,แต่และอื่นๆ
695,เป็นเหมือน checklist ก่อนทำงาน โปรแกรมเมอร์ทุกคนควรดู,neg,แต่และอื่นๆ
702,อยากให้เพิ่มตัวอย่างในบางบทมากกว่านี้เช่น Testing 3 แบบในโค๊ดทำแบบไหน CI/CD หน้าจะเพิ่มตวอย่างมากกว่านี้ครับ,neg,อยาก
708,โดยส่วนใหญ่จะเน้นไปในเชิงความรู้พื้นฐาน,neg,แต่และอื่นๆ
710,คาดหวังจะได้อะไรมากกว่านี้ เนื้อหาพื้นเกินไป หรือผมอาจจะคาดหวังเกินเพราะอยากได้แนวๆที่ไกด์ไปถึงแนวทางที่จะไปทำบริษัทระดับต้นๆ ถ้ามีการปรับปุรงเนื้อหาจะแวะมาให้ดาวใหม่,neg,แต่และอื่นๆ
719,เหมือนเป็นกระจกสะท้อนตัวเอง ว่าควรปรับ เพิ่ม หรือลดอะไรที่ไม่ควรลงบ้าง,neg,ไม่
725,คอร์สฟรี เนื้อหานำไปใช้ได้จริง คุ้มค่าครับ,neg,แต่และอื่นๆ
726,"CEO, middle management ควรฟัง คู่ควร",neg,แต่และอื่นๆ
727,คอร์สฟรี คาดหวังการลงดีเทลไม่ได้ เหมือนทดลองเรียนมากกว่า,neg,ไม่
730,อยากให้เพิ่มซับไตเติลหรือขึ้นสรุปสั้นๆ + เพิ่มเคสตัวอย่าง,neg,อยาก
745,เข้าใจ mind set ของ agile ผ่านการอธิบาย concept และตัวอย่าง,neg,แต่และอื่นๆ
746,"อยากให้ยกตัวอย่าง อีกหน่อย เช่นการมี VDO สอนการ example ยืน stand up meeting

การสอนการวางงานในแต่ละ Sprint

ตัวอย่างที่ PM จะทำ Restrospec ควรพูดประมาณไหน",neg,อยาก
749,"ผู้สอนอธิบายได้ดี
เป็นคอร์สอธิบายเกี่ยวกับ Agile แต่ไม่ได้ลงลึกจนถึงแนวทางปฎิบัติในแต่ละขั้นตอนการทำงานแบบ Agile",neg,แต่และอื่นๆ
759,เหมาะกับผู้ที่สนใจเเละอยากเรียนรู้ตั้งเเต่ต้น,neg,อยาก
769,เข้าใจ concept มากขึ้น,neg,แต่และอื่นๆ
779,ต้องการให้มีการบรรยายมากกว่า 1 ท่าน เพื่อให้ไม่ดูเป็น monotone มากเกินไป,neg,ไม่
790,การอธิบายมีความชัดเจน ไม่เร็วเกินไป และตัวอย่างประกอบ,neg,ไม่
791,อยากให้มีเอกสารดาวโหลดคะ,neg,อยาก
795,เสียดายเงิน ในยูทูปฟรีสอนดีกว่าเยอะ,neg,แต่และอื่นๆ
798,สอนเน้นหลักการได้ดี แต่อยากให้เพิ่มเติมคำแนะนำหรือวิธีการตั้งหรือ set ค่ากราฟในโปรแกรมต่างๆ ที่เข้าถึงได้ หรืออาจให้คู่มือแนบง่ายๆ สำหรับมือใหม่ เพื่อให้ set กราฟเทคนิคได้ถูกต้องค่ะ,neg,อยาก
804,อยากให้อาจารณ์ลง Detail มากกว่านี้ อยากได้ตัวอย่างการคำนวณมากกว่านี้,neg,อยาก
806,เยี่ยมค่ะ หายาก มาก คอร์ส นี้,neg,แต่และอื่นๆ
817,เหมือนทุกอย่างอยู่ในพุทธศาสนา โชคดีคนไทยมีพุทธศาสนาอยู่ใกล้ตัวมากๆครับ,neg,แต่และอื่นๆ
819,เป็นการบอกเล่า Overview NFT ได้ดีเลยครับสำหรับมือใหม่ แต่อยากลงลึกไปถึงการสร้างว่าจะสร้างยังไงได้บ้าง ตอนนี้เข้าใจคอนเสปโดยรวมๆแล้วเหลือแต่วิธีการสร้างด้วยโปรแกรมนี่แหละครับที่ยังไม่ค่อยเห็นภาพเท่าไร,neg,แต่และอื่นๆ
821,หาไฟล์ ebook ที่แนบมาให้ไม่เจอค่ะ,neg,ไม่
828,สอนได้แจ่มมากครับ,neg,แต่และอื่นๆ
832,เป็นการสอนทฤษฎี นำไปปฎิบัติยาก ผมเสนอให้ ชี้แนะคำถามเพื่อการโค้ชตัวเองด้วย,neg,แต่และอื่นๆ
836,คนสอนยังดูไม่ Professional,neg,ไม่
837,คลิปสั้นกระชับก็จริงนะคะ แต่เสียตังค์มาแล้วก็อยากได้รายละเอียดกว่านี้ค่ะ บางเมนูไม่มีการหั่นของเนื้อสัตว์หรือบอกวิธีการ เร็วแต่ขาดจุดสำคัญไปหน่อยค่ะ,neg,แต่และอื่นๆ
838,เตรียมขาหมูก่อนทำต้ม​ไม่เป็น​  ในคลิปไม่มีสอนมันเลยขาดจุดที่สำคัญไป​  ผิดหวังเลย,neg,ไม่
839,สอนไม่ละเอียดเท่าที่ควร บางอย่างทำเสร็จใส่ถ้วยไว้,neg,ไม่
846,เรียนแล้วยังไม่ค่อยเข้าใจเท่าไหร่ค่ะ น่าจะเหมาะกับคนที่พอมีพื้นฐานทางด้านการเงินมาบ้างมากกว่า ส่วนตัวจบบัญชีก็จะเข้าใจแค่partของบัญชี แต่ของการเงินงงๆอยู่ค่ะ ต้องไปหาอ่านเพิ่มเติมแล้วค่อยกลับมาเรียนใหม่,neg,แต่และอื่นๆ
849,อ พูดเป็นจังหวะที่ฟังง่าย ไม่เร็ว ไม่ช้า มีประเด็น เนื้อหาที่ทันโลกและทันสมัยค่ะ,neg,ไม่
852,ถ้าตั้งใจทำจริงๆจะได้เยอะ(แต่ช้า),neg,แต่และอื่นๆ
853,ได้ความรู้การค้นหา มากกว่าครับ เหมือนมาฟัฃบรรยายมีแต่น้ำๆ เนื้อน้อยมาก เหมือนยังเก็บของไว้อยู่,neg,แต่และอื่นๆ
855,เรียนคอร์สนี้แล้วสามารถลงทุนในหุ้นได้แบบไม่เป็นแมลงเม่า เพราะสอนตั้งแต่พื้นฐานของการลงทุน การวางแผนการเงิน การใช้กราฟในการพิจารณาเลือกหุ้นและจังหวะการเข้าและออกจากหุ้น สอดแทรกเทคนิคและประสบการณ์ของโค้ช ถ้าปฏิบัติตามคำแนะนำอย่างเคร่งครัดและสม่ำเสมอก็จะทำรายได้จากการซื้อขายหุ้นมากกว่าขาดทุน,neg,ไม่
857,ถ้าคนที่แบบไม่รู้อะไรเลยเกี่ยวกับหุ้นแบบเทรดกราฟ ดูแล้วยังไม่เคลียทั้งหมดเท่าไร,neg,ไม่
860,ได้ความรู้ และเข้าใจการเทรดมากขึ้น,neg,แต่และอื่นๆ
872,มีคำถามอยากถามคุณแพททำยังไงคะ,neg,อยาก
884,เหมาะสมกับทั้งคนที่ยังไม่มีพื้นฐาน และคนที่อยากทบทวนหรือนำความรู้ไปต่อยอดเพิ่มเติมครับ,neg,อยาก
