,comments,target
258,เป็นการสอนที่สามารถเข้าใจได้ง่ายสำหรับคนทั่วไปที่ต้องการเรียนรู้ในคอร์ส,pos
259,เนื้อหาเข้าใจง่าย เรียนรู้เรื่อง,pos
260,ดีมากสอนให้เข้าใจง่ายมากขึ้น,pos
261,อยากได้คำใบ้ มากกว่านี้ ก่อนเฉลย ในบางข้อ,neg
262,ให้ความรู้ชัดมากครับ,pos
263,สู้ๆครับ,neg
264,คอร์สนี้ทำให้รู้จักวีธีเขียนคิวรี่แบบใหม่ๆ ทำให้เข้าใจลำดับการทำงานของคิวรี่มากขึ้น แล้วสามารถนำมาปรับใช้ได้จริง,pos
265,โดยรวมเนื้อหาค่อนข้างครบถ้วนและเรียบเรียงดี หากเพิ่มตัวอย่างที่ใกล้เคียงกับ real world use เข้าไปเพิ่มจะทำให้ course นี้ดีมากขึ้นไปอีกครับ,pos
266,ดีมากๆ ครับ มีตัวอย่างให้ลองทำจนเข้าใจ,pos
267,ชอบที่อธิบายได้เข้าใจง่าย มีการยกตัวอย่างการใช้งานจริง ทำให้นึกภาพตามได้ชัดเจน และพาทำที่ละสเตปตั้งแต่พื้นฐาน สามารถทำตามได้,pos
268,อธิบายเป็นขั้นตอน เข้าใจง่าย เห็นภาพชัดเจน ยกตัวอย่างได้ชัดเจน ทำให้เข้าใจว่า Docker คืออะไรและนำมาใช้งานได้ยังไง ดีเลยค่ะ,pos
269,ผู้บรรยายสอนดีมากค่ะ การจัดการเนื่อหาในการสอนและ slide ช่วยให้เห็นภาพมากขึ้น และเข้าใจง่าย สามารถนำไปใช้ได้จริงค่ะ,pos
270,อธิบายละเอียด ไม่เร็วจนเกิินไป และ เข้าใจง่าย,pos
271,ดีเกินคาดครับ นำไปใช้งานได้เป็นอย่างดีมากครับ,pos
272,ทำให้เข้าใจมากขึ้น มากกว่าไปลองผิด ลองถูกเอ็ง,pos
273,ทำให้เข้าใจในการใช้งาน docker มากยิ่งขึ้น,pos
274,เข้าในเรื่องการใข้ docker command มากขึ้น,pos
275,"workshop ยังมีปัญหา run บาง step แล้วยัง error, เข้าไปดูที webboard แล้วก็ยังไม่มี solution",neg
276,ชอบๆ สอนเข้าใจง่ายมากครับ,pos
277,ดีครับ แนะนำเลย,pos
278,เยี่ยมจริงๆครับ,pos
279,แพงไปสำหรับพื้นฐานการเรียนรู้ที่ได้รับ คือแทบจะแบบอ่านเอาตาม doc หรือเว็บต่างๆ ก็มีครับ,neg
280,คอร์สนี้เป็นไปตสมที่คาดหวังไว้ที่เข้ามาเรียน แต่อาจด้วยพื้นฐานคอมของผมน้อยบางครั้งอาจตามเนื้อหาได้ช้าหน่อย หรือบางคำพูดซึงไม่แน่ใจเป็ฯศัพท์ทางเทคนิครึเปล่า ซึ่งผมที่มีพื้นฐานน้อยและห่างหายจากการทำงานไปนานจึงไม่ค่อยเข้าใจ อีกเรื่องคือบางครั้งทำคามที่ผู้สอนทำให้ดูไปด้วยในคลิป แต่ไม่ได้ save หน้าที่ทำไว้ เพราะอาจไม่ได้เปิดเรียนต่อเนื่องยาว ๆ ซึ่งผู้สอนทำตัวอย่างไว้หลายหน้า เวลาสอนอาจใช้เนื้อหาหน้านั้นหน้านี้ย้อนไปย้อนมา อีเรื่องคือบางครั้งทำแบบฝึกหัดแล้วเห็ฯเฉลยแล้วแต่ทำไม่ได้ตามที่เฉลย ถ้ามีอธิบายเพิ่มเติมว่าทำไงได้ผลิิกมาแบบนั้นก็ดีครับ เช่น demension ใช้ตัวไหนมาวางบ้าง ในส่วนของ Case study ช่วงสุดท้าย ก็อยากให้มีเฉลยแบบว่าใช้ตัวไหนมาวางบ้างทำอย่างไร เพราะบางครั้งทำแล้วผลลัพท์ไม่ได้ออกมาอย่างภาพที่ผู้สอนลงไว้เลยไม่รู้ว่าทำผิดในส่วนไหนขั้นตอนไหนกันแน่ครับ โดยรวมเป็ฯคอร์สที่ดีมาก,pos
281,เหมาะสำหรับคนไม่มีพื้นฐาน อธิบายวิธีใช้ได้แบบเข้าใจง่าย ใช้ไปสักพักจะมีความเคยชินแล้วมั่นใจที่จะสร้างdashboardขึ้นมาเอง เข้าใจว่าที่จริงแล้วเป็นplatformที่ถูกดีไซน์มาให้ใช้ง่ายอยู่แล้วแต่ก็ชอบที่คอร์สพยายามempathizeและตอบข้อสงสัยของคนที่ไม่เคยใช้มาก่อน มีการย้ำค่อนข้างดี ถ้ามีproblem setให้นักเรียนฝึกหลังเรียนจบจะดีมาก โดยรวมเป็นคอร์สที่สนุกดี,pos
282,สำหรับผู้ที่มีพื้นฐานการทำ Dashboard มาแล้ว จะสามารถเข้าใจได้รวดเร็วเนื่องจาก Tool ไม่ซับซ้อนมาก ส่วนผู้ที่เริ่มศึกษาการใช้ Tool นี้เป็นตัวแรก อาจจะต้องทำความเข้าใจในส่วนของการเขียนสูตรให้ละเอียดขึ้น โดยรวมดีครับ แต่อยากให้มีเอกสารประกอบการสอนเป็น pdf ด้วย เผื่อเวลาลืมในบางเรื่อง สามารถกลับมาอ่านได้เลย ไม่ต้องมาย้อนดูวีดีโอใหม่,pos
283,การลำดับหัวข้อ การเล่าเรื่องเนื้อหาดีมาก ทำตามได้ไม่ยาก เนื้อหาครอบคลุมสิ่งที่ต้องการ เจาะละเอียดทุก Feature สามารถไปลองทำจริงฝึกเองในกรณีซับซ้อนขึ้นได้,pos
284,เป็นคอร์สที่ละเอียด สามารถเรียนรู้ได้ตั้งแต่ผู้ใช้ที่ไม่มีสกิล ไปจนถึง ผู้ใช้มีสกิลเบื้องต้นแล้ว ทั้งนี้ ได้มีการถามคำถามไป แต่ยังไม่มีการตอบกลับ จึงทำให้ยังไม่ทราบข้อมูลที่ชัดเจนว่าะจะต้องจัดการกับข้อมูลนั้นอย่างไร,pos
285,คอร์สเรียนเหมาะสมกับโลกในปัจจุบันมาก เพราะสามารถนำความรู้ที่ได้รับนำไปใช้ในการทำงานได้เป็นอย่างดี,pos
286,"วิทยากรบรรยายละเอียดเข้าใจง่าย ไม่ซับซ้อน 
สามารถทำตามในแต่ละ Path ได้",pos
287,"สอนดีตรงจุดที่ต้องการ
ควรเพิ่มตัวอย่างที่หลากหลาย
ควรเพิ่มเนื้อหาให้ตรงเวอร์ชั่นปัจจุบันของโปรแกรมด้วย",pos
288,ได้เรียนรู้เทคนิคต่าง ๆ สำหรับการใช้ Google data studio,pos
289,สำหรับคนที่เคยมาไกลสุดแค่ pivot มันเปิดโลกมากครับ,pos
290,คลิปท้าย ๆ ภาพผู้บรรยายบังจอในจุดที่กำลังอธิบาย ทำให้ดูยากไปหน่อย,pos
291,สอนละเอียด สาธิตวิธีการทำแบบเข้าใจง่ายมากๆ,pos
292,ได้นำมาปรับใช้กับการทำ Data Studio จริงๆ,pos
293,สอนเข้าใจง่ายและสามารถนำไปใช้งานได้จริง,pos
294,ได้เรียนรู้วิธีการทำ Dashboard ที่ให้ง่ายและเข้าใจ,pos
295,วิทยากรสอนดี ได้รับความรู้มาก,pos
296,วิทยากร สอนได้ดีมากค่ะ,pos
297,นำไปใช้กับงานที่ทำได้,pos
298,มีประโยชน์ใช้ได้จริง,pos
299,รู้ในสิ่งที่ไม่เคยรู้ ดีงามมาก,pos
300,สามารถนำไปปรับใช้ ได้กราฟสวยๆ,pos
301,เนื้อหาบางส่วนดูวนไปวนมา,pos
302,ดีมากเลยครับ,pos
303,กดตามแล้วมี error บ่อยครั้ง,neg
304,ชอบมากเลยค่ะที่แต่ละคลิปมีความยาวไม่เกิน10นาที เลยรู้สึกไม่อิดออดเลย ไปต่อได้เรื่อยๆ และครูก็สอนเข้าใจมากด้วยค่ะ แต่ติดตรงที่ถ้ามีคำถามจะต้องรอคำตอบนานมากทำให้ไปต่อไม่เป็นเลย,pos
305,"ผู้สอนอธิบายเข้าใจง่าย เนื้อหาภายในสั้นกระชับ แบ่งหัวข้อชัดเจน ทำให้กลับมาทบทวนจุดที่สงสัยหรือลืมได้ไม่ยาก

อยากให้อัพโหลดสไลด์ให้ด้วย จะช่วยให้จดจ่อกับเรื่องที่เรียนได้ดียิ่งขึ้น นั่งฟังอย่างเดียวแล้วบางทีหลุดง่ายครับ 55",pos
306,ได้เข้าใจพื้นฐานเบื้องต้นได้ดี มีความเข้าใจกับcssมากขึ้นหลังจากที่ไม่รู้อะไรเลยเกี่ยวกับcss และไปใช้ต่อยอดได้ คิดว่าถ้าได้ลงฝึกใช้เรื่อยๆคงได้เข้าใจมากขึ้นอีกค่ะ,pos
307,สอนดีเข้าใจง่าย materialS ต่างๆค่อนข้างครบครัน แต่อยากให้เพิ่ม  quiz  หรือ project เข้ามามากกว่านี้อีกนึดเพื่อที่จะได้คุ้นเคยมากขึ้น,pos
308,สอนดีมากกกกกก เข้าใจ่งาย ทำตามง่ายยย สอนดีมากก,pos
309,เข้าใจง่าย ซึมซับไว ดีเลยทีเดียว,pos
310,เข้าใจง่าย ทำตามได้จริงค่ะ,pos
311,สอนดีมากครับ เข้าใจง่าย,pos
312,อาจจะเพราะเคยเรียนพวกพท้นฐานการใช้ sheet หลายๆ อันมาแล้ว บางอันก็รู้สึกว่าอยากไดลึกกว่านี้ค่ะ แบบการใช้average แบบอื่น เพราะคิดว่าคนทั่วไปอย่างน้อยชีวิตก็น่าจะเคยใช้คำสั่งaverage ธรรมดาครั้งนึงอยู่แล้ว อยากเรีียนลึกกว่านั้นบ้างค่ะ รวมถึงหลาย ๆ อย่างที่ยังไม่อัพเดตตอนนี้ pivot chart ย้ายไปอยู่ใน menu insert แล้วนะคะ แล้วก็อาจจะเพราะเคยเรีียนสถิติพื้นฐานมาแล้วคนที่เข้าใจเรื่องการเรียงข้อมูลเลยเขาใจพวก correlationได้ไม่ยาก สำหรับหนูที่เคยเรียนพื้นฐานมแล้วรู้สึกอยากเรียลึกกว่านี้ (อาจจะแค่คาดหวังเกินไป ลืมไปว่าอันนี้เป็นพื้ฐาน) แต่สำหรับคนที่ไม่เคยเรียนสถิติมาเลยอาจจะเข้าใจได้อยากในส่วนของการวิเคราะห์ 2 ตัวแปร น่าจะอธิบายละเอียดกว่านี้ เช่น ทำไมกราฟแบบนี้ถึงบ่งบอกว่ามันมีคสพกันมีการเอาข้อมูลดิบให้ดูแล้วplot ให้ดูจะให้คนเข้าใจและเห็นภาพมากขึ้นสำหรับเริ่มตั้งแต่พื้นฐาน เช่นให้ดูข้อมูลดิบก่อน ให้เขียนคำตอบว่าคิดว่ามมีคสพอย่างไร อันนึงยิ่งมาก อีกอันยิ่งมากใช่ไหม แล้วplot ให้ดูอะไรแบบนี้ค่ะ แล้วก็ไม่ยากให้แบบฝึกหัดมีให้ทำเหมือนตอนยกตัวอย่าง ให้ต่างแล้วมีเฉลยให้ดักว่าค่ะ ไม่งั้นดูสึกเห็นเฉลยตั้งแแต่แรก มันไม่ค่อยได้ประยุกต์,pos
313,รู้สึกว่าได้ใช้Google Sheetsมาทำอะไรมากกว่าที่เคยชิน เหมาะสำหรับคนที่ไม่มีพื้นฐานมาก รู้สึกอธิบายแต่ละขั้นตอนได้ดี เรียบเรียงลำดับของข้อมูลให้นักเรียนค่อยๆสร้างskillsและต่อยอดไปได้ดี โจทย์สนุกดี แต่ละขั้นตอนโจทย์เหมาะสมกับข้อมูลที่สอนมาก่อนหน้านั้น ไม่ยากไม่ง่ายไป ส่วนตัวอยากให้มีpractice problem setให้ได้ลองฝึกไปได้เรื่อยๆ เพราะหลายๆสกิลคือสอน ให้ลอง และก็ไม่ได้กลับมาดูอีกเลย ทำให้ลืมข้อมูลที่เรียนไปก่อนหน้านั้น ถ้ามีquizที่คอยกระตุ้นให้active recallสกิลที่เรียนไปโผล่มาเรื่อยๆจะดีมาก,pos
314,"เข้าใจมุมมองธุรกิจเพิ่มมากขึ้น ที่ไม่ได้ต้องการรู้แค่ว่าข้อมูลมีความสัมพันธ์กันเท่านั้น แต่ต้องการทราบว่าอะไรเป็นสาเหตุที่ทำให้เกิดข้อมูลอีกตัว
เข้าใจการใช้ sheet มาช่วยในการวิเคราะห์ข้อมูลจากเบื้องจ้นจนประยุกต์มากขึ้นเรื่อย ๆ",pos
315,ชอบที่มีให้ทำด้วยตัวเองระหว่างทางมากค่ะ แต่อยากให้แบบบอกว่าhintอยู่ตรงไหนในแต่ละแบบฝึกเหมือนกันค่ะบางครั้งหาไม่เจอ ขอบคุณค่ะ,pos
316,หน้าเว็บใช้งานง่าย มีแบบฝึกให้ทำระหว่างบทเรียนไปด้วย projectตอนท้ายแอบมีความ challenge intructorบรรยายได้ดี เข้าใจง่าย,pos
317,"เนื้อหา อาจจะมีการเปลี่ยนแปลงตามการ update ของโปรแกรมที่สอน 
เสียงแต่ละคลิปไม่เท่ากัน ต้องไปปรับระดับเสียงเอง
ภาพของอาารย์บ้างครั้งไปบังเนื้อหาที่สอน",neg
318,คอร์สสอนดีมากค่ะ ชอบมาก รู้สึกได้รับความรู้พื้นฐานมากขึ้น จากที่ไม่เคยรู่ ขอบคุณมากๆค่า,pos
319,เป็นคอร์สเริ่มต้นสำหรับผู้พื้นฐานไม่มากนัก ได้เป็นอย่างดี การบรรยายค่อนข้างละเอียดและแบบฝึกหัดไม่ยากเกินไปสามารถทำความเข้าใจแนวคิดได้,pos
320,ได้ความรู้วิธีการรายละเอียดอธิบายเข้าใจได้ง่าย  แต่ต้องฝึกทำเยอะๆจะได้จำไปใช้งานได้,pos
321,น่าจะมีเวลาในการทำ Project ส่งหรือเรียนให้ผู้เรียนมากกว่านี้ เนื่องจากคนเรียนส่วนใหญ่เป็นคนทำงาน ทำให้เวลาจำกัดมากเกินไป,neg
322,เป็นคอร์สที่ดีมีประโยชน์มากสามารถนำมาใช้ในการทำงานในปัจจุบันได้เป็นอย่างดี,pos
323,"ความรู้ล้วนๆ ดีค่ะ เรียนด้วยทำ excercise ด้วย ""ปัดฝุ่นขี้เลื่อย""",pos
324,Exercise ตัว Google Sheet ค่อนข้างเล็ก ทำให้เวลาทำจะลำบากอยู่พอสมควร ถ้าใครใช้ Laptop ยิ่งเล็กยิ่งลำบาก เลยติดประเด็นนี้นิดนึงที่ทำให้เวลาทำ Exercise จะช้ากว่าปกติ,neg
325,อธิบายได้เข้าใจถึงกระบวนการทำเเต่ละอย่างเพื่อนำไปต่อยอดได้,pos
326,สอนดี ภาพชัด เสียงชัด มีแบบฝึกหัดให้ทำตลอดทุก ๆ หัวข้อ,pos
327,ได้รู้เทคนิคการใช้งาน Google Sheets เยอะมาก,pos
328,เป็นคอร์สที่เหมาะกับคนที่เพิ่งเริ่มต้น ปูพื้นฐานดี สอนเข้าใจง่าย,pos
329,เข้าใจง่าย พี่ต้าสอนดีสุดๆค่ะ,pos
330,เป็นคอร์สที่ให้ความรู้ ละเอียด ชัดเจนดีครับ,pos
331,ดีสำหรับผู้เริ่มต้นค่ะ แต่ถ้าใช้ Google Sheet อยู่แล้วอาจจะไม่ค่อย ว้าววว,neg
332,สามารถนำมาใช้ในงานได้ดี,pos
333,เหมือนเป็นอคอรส์ปูพื้นฐาน basic,pos
334,อธิบายเป็นขั้นตอนดี,pos
335,ดีและมีประโยชน์มาก,pos
336,Good,pos
337,"เนื้อหาดีมาก เข้ามาเรียนตอนแรกนึกว่าจะมีแค่ web scraping python พวก library แต่มีเรื่อง API, Regular Expression เป็นความรู้เสริมให้ด้วย ถ้ามีติอาจจะตรง Lab ที่บางอันที่หมดอายุแล้ว หรือบอกไม่เคลียร์ว่าจะให้เราทำอะไรบ้าง ทำให้รู้สึกเหมือนได้ฝึกน้อย",pos
338,คอร์สนี้สอนดีมากครับ ไล่ตั้งแต่ปูพื้นฐานของ html จนนำไปสู่การดึงข้อมูลโดยใช้ python มี case study ให้ลองฝึกทำด้วย แต่เสียอย่างนึงตรงที่พาร์ท regex ตอนลองรันโค้ด มันอาจให้ response (แถบล่างครับ) งงๆหน่อย เพราะว่าลองรันโค้ดแล้วปรากฏว่าคำตอบถูก แต่ response แถบล่างบอกผิด แต่ไม่ได้ติดใจอะไรครับ โดยรวมแล้ว ถือว่าดีมากครับ อยากให้คนที่ัยังไม่เคยเรียนรู้ ลองเรียนคอร์สนี้ดูครับ,pos
339,เข้าใจพื้นฐานการ Web Scrapping เพื่อนำไปต่อยอดหาความรู้เพิ่มเติมด้วยตนเองต่อไป,pos
340,อาจารย์สอนเข้าใจง่ายมาก ไม่เคยมีพื้นฐานเลยก็สามารถเรียนได้,pos
341,เป็นคอร์สที่ดีมากครับ ปกติก็เขียนแค่ javascript แบบเดิมๆ คอร์สนี้ทำให้รู้อะไรใหม่ๆเกี่ยวกับ ES6 เยอะเลยครับ จากที่ไปลองเขียนพวก framwork ต่างๆ ที่ใช้ ES6 แล้วงงๆ ตอนนี้เข้าใจขึ้นเยอะเลยครับ,pos
342,ปูพื้นฐานได้ดี หลังๆ ไปไว ถ้ารู้ ES5 มาก่อน หรือเคยเขียน Javascript มาก่อนน่าจะเข้าใจได้ดียิ่งขึ้น,pos
343,คอนเท้นท์เเละclassroom material ต่าง ๆ ค่อนข้างโอเค เเละเตรียมพร้อมมากเลยค่ะ เเต่อาจจะติดว่าตัว vdo บางตัวมีความยาวมากไปหน่อยตั้งเเต่ (เกิน 40 นาที) ก็อาจจะเเอบรู้สึกเหนื่อยเเล้ว ทำให้เรียนสองสามวันยังไม่จบสักที + ในส่วนของก่อนchapter ที่จะเข้ามาใน mid fi wireframe เเอบรู้สึกว่าจะมี chapter ที่หายไปคือตัวtools ของการสร้าง customer journey ในสินค้า ถ้ามีตรงนี้ด้วย เเล้วสามารถดึงมาใช้ในการร่างmid fi ได้เบยคืดว่าจะตอบโจทย์ขึ้นมาดกว่านี้เลยค่ะ + เเอบรู้สึกว่ามีช่วงเว้นจังหวะหายใจเเละการหยุดคิดค่อนข้างเยอะไปหน่อย อันนี้เลยคิดว่าการตัดต่อต่าง ๆ ควรมีช่องว่างน้อยกว่านี้ค่ะ เลยทำมห้เหมือนอาจารย์พูดช้า เเละช่วงที่มีการทำworkshop tools ที่empathize user อยากมห้เป็นการให้นักเรียนลองทำเองมากกว่าค่ะ ส่วนตัวคิดว่าถ้าเพิ่มเป็นหน้าขั้นในส่วนของ tools postit เข้าไปด้วย เหมือนกับคอรส์ design for innovation จะทำให้คนเรียนเข้าใจเเละรู้สึกinvolveไปกับหลักสูตรมากกว่านี้ค่ะ อันนี้พอเป็นสไลด์เเล้วรู้สึกเหมือนต้องไปเเยกทำเองเเละฟังพี่ ๆ เขา discussกันเอง,pos
344,คอร์สเรียนนี้เป็นคอร์สเรียนที่ดี ที่ทำให้ผู้เรียนอยากเข้าใจกระบวนการทำงานของ ux มากขึ้น แต่อยากให้ปรับปรุงหรือเพิ่มเติมส่วนของเนื้อหา ยก casestudy ที่ประสบความสำเร็จจริง หรือมีปัญหาระหว่างการทำงานร่วมกับทีม ตั้งแต่ต้นจนจบให้เป็นตัวอย่างด้วยก็จะดีมากค่ะ,pos
345,สนุกมากๆ ตอนทำ UX tools มีแขกรับเชิญมาร่วม Brainstrom กันด้วยเหมือนได้อยู่ในบรรยากาศห้องเรียนสดจริงๆ เหมือนเรียนออนไลน์ในซูม ไม่น่าเบื่อเลย exercise ก็ไม่ยาก สนุก มือใหม่เรียนได้ แต่ถ้ามีความรู้พื้นฐานมาบ้างก็ต่อยอดได้ไวค่ะ,pos
346,เป็นคอร์สที่สอนให้เห็นกระบวนการทำ UX และผู้เกี่ยวข้องทั้งหมดในการทำงานจริง มีสถานการณ์จำลองให้เข้าใจง่าย เล่าถึงวิธีดำเนินการทั้งหมดครบถ้วนสมบูรณ์ เรียนสนุก รู้ครบวงจรในคอร์สเดียวค่ะ,pos
347,เป็นคอร์สที่ดีมากครับ ได้แนวคิดใหม่ๆ แบะตอบคำถามในการเป็น UX designer  เห็นภาพชัดเจน เนื้อหาครบถ้วน  เหมาะสำหรับคนที่สนใจย้ายสายงาน มาทางนี้มากๆ,pos
348,"ข้อมูลเยอะมากค่ะ หัวข้อที่เรียนมีหลายหัวข้อมากๆ ได้เห็นถึง process การทำงานจริงๆและมีวิธีการ เทคนิค ต่างๆในการสัมภาษณ์ user , ในการทำ workshop สอดแทรกเยอะมากๆค่ะ รู้สึกว่าเป็นสิ่งที่ประยุกต์ใช้ได้จริงค่ะ",pos
349,"ได้ความรู้ fundamental ที่ดี แต่อยากให้ลงลึกมากกว่านี้อีกนิดนึง fundamental + basic อีกหน่อย ครับ ตอนนี้ให้ 8/10

พร้อมยกตัวอย่างเพิ่มกับหลายๆ Business Propose จะดีกว่านี้อีก เป็น 10/10 เลยกั๊บ",pos
350,ชอบที่มีการอธิบายลำดับขั้นตอนการทำงาน พร้อมอธิบายเหตุผลประกอบ มันทำให้เข้าใจมากขึ้นและเอาไปใช้ต่อได้ง่าย,pos
351,ได้แนวคิด UX ที่ดีมากๆเลยครับ มันคงเป็นประสบการณ์ที่ดีถ้าได้มาเรียน และเข้าใจมันซักครั้งในชีวิต,pos
352,สอนเข้าใจง่าย แบ่งแต่ละเรื่องให้สามารถนำไปใช้จริงได้ และสามารถกลับมาดูซ้ำได้เมื่อเราลืม,pos
353,ไม่แน่ใจว่าระบบเป็นอะไร ดูวิดีโออยู่ก็ชอบค้าง ต้องคอย refresh หรือตอนจังหวะเลื่อนย้อนไปฟังวินาทีก่อนๆในคลิปเดิมจะค้างไปเลย,neg
354,ดีมากๆครับ ได้ความรู้เพิ่มเติมมาเยอะเลย สามารถเอาไปปรับใช้กับงานที่ทำอยู่ได้,pos
355,ผู้สอนมีทัศนคติในการสอนที่ดีมากค่ะ เรียนแล้วเข้าใจภาพรวมของการเป็น UX ได้ดีขึ้นมาก เป็นกำลังใจให้ทีมงานนะคะ ขอบคุณค่ะ,pos
356,ปูพื้นฐานได้แน่และสามารถนำไปปรับใช้กับการทำงานได้อย่างดีเยี่ยม,pos
357,คอรส์นี้ ได้เห็นภาพรวมตั้งแต่ตั้น จนถึงออกมาเป็น Product ครับ,pos
358,เนื้อหาแน่น แต่สิดีโอสามารถตัดให้กระชับได้มากกว่านี้ และบางบทเสียงที่อัดมันก้องสะท้อนมากไปหน่อย,pos
359,สำหรับการ เข้าใจพื้นฐานของงาน คอร์สนี้ดีเลยครับที่จะเริ่มต้น,pos
360,เป็นคอร์สที่ปูพื้นฐานเรื่อง UX ตั้งแต่ต้น เหมาะกับทุกคนเลย,pos
361,เป็นคอร์สที่ให้เรื่องกระบวนการคิดที่ดี เป็นระบบมากครับ,pos
362,สอนดีค่า แต่อยากให้ลงรายละเอียดในเรื่องของresearchมากกว่านี้ค่ะแต่ภาพรวมโอเคค่ะ,pos
363,เข้าใจง่าย เห็นภาพชัดเจน ปลุกไฟในตัวคุณ,pos
364,ข้อมูลแน่นและอธิบายได้เข้าใจง่ายมากค่ะ,pos
365,ได้ความรู้เกี๋ยวกับการทำ UX ได้ดีมาก ๆ,pos
366,ดีค่ะ เข้าใจพื้นฐานได้เยอะ,pos
367,อยากให้มีตัวอย่างเพิ่มขึ้นสัก 1 อย่างค่ะ,neg
368,เข้าใจความเป็น ux มากขึ้น,pos
369,ปูพื้นฐานได้ดี แต่ยังไม่มีคอร์สต่อยอด,pos
370,ได้เห็นภาพรวมกว้างๆ ถ้าต้องการนำ microservice มาใช้งาน และนำไปต่อยอด เหมาะกับคนที่เริ่มต้นสนใจ microservice,pos
371,พื้นฐานเหมาะสมสำหรับผู้ที่กำลังจะเริ่มต้นตัดสินใจทำ Microservices มีอธิบายข้อดีข้อเสีย และข้อควรระวัง,pos
372,เป็นหลักสูตรที่ปูพื้นแนวความคิด micro services ได้ดีเลย,pos
373,ทำให้เห็นภาพรวมของการทำ microservice แต่ถ้าเพิ่มเนื้อหาเรื่องวิธีการ develop ที่เนื้อหาน่าจะครบกว่านี้ครับ,neg
374,ได่ความรู้เพิ่มมากขึ้น,pos
375,อธิบายได้เข้าใจง่าย,pos
376,เหมาะสำหรับผู้เริ่มต้นเลย ทำความรู้จัก blockchain ตั้งแต่เริ่มต้น bitcoin และ etherium มาจาก concept อะไร การนำไปใช้งานจริงใน business model ที่เกิดขึ้นจริง และความเสี่ยงในการนำไปใช้งาน,pos
377,เนื้อหากระชับ เข้าใจง่าย สามารถดูย้อนหลังได้ เหมาะสำหรับผู้ที่ไม่มีพื้นฐานความรู้ในด้านนี้มาก่อน,pos
378,ฟังแล้วเข้าใจมากกว่าเดิมเยอะเลย ขอบคุณมากๆเลยค่ะ,pos
379,เป็นการสอนที่เข้าใจง่าย พร้อมตัวอย่างในการเรียนรู้,pos
380,ได้เปิดมุมมองในการเล่าเรื่องให้น่าสนใจ และบรรลุเป้าหมายที่เราต้องการสื่อสาร,pos
381,มีไอเดียและข้อคิดในการนำเสนอ project ได้ดีขึ้น,pos
382,ได้แนวคิดในการนำเสนอเพิ่มพอควร,pos
383,ระบบการtrack สถานะการเรียนไม่ค่อยดี เรียนครบแล้วแต่ไม่นับว่าเรียนจบให้,neg
384,อยากให้สอนทำการแยก ดึง .chunk ของน่าที่ใช้ที่ละหน้า หมายถึงย่อยไฟล์ .chunk แล้วเอามาใช้แค่น่าที่ใช้ครับเพราะมีปัญหาเรื่องนี้หนักมาก,neg
385,สามารถนำมาปรับใช้ได้จริง เพราะส่วนงานที่รับผิดชอบ ใช้การ Present ค่อนข้างบ่อย การสร้างความโดดเด่น ถือว่าเป็นจุดขาย,pos
386,ช้วยทำให้เรามี model ที่ช่วยในการทำ infographic ที่ใช้สื่อสารกับเป้าหมายได้มีประสิทธิภาพมากขึ้น,pos
387,ควรมีเนื้อหาให้อ่านเป็น sheet สรุป และควรแจ้งตั้งแต่ต้นว่า จะเรียนแล้วต้องทำอะไรต่อ อันนี้เรียนไปถามเพื่อนไปว่าเข้าใจเหมือนกันไหม,pos
388,ทำให้การจัดวางสไลด์หรือโปรเตอร์ต่างๆได้สวยขึ้นและสามารนำไปใช้ได้จริงกับการทำงาน,pos
389,"อยากให้มีไฟล์ข้อมูล PDF. ของคอร์สครับ
อยากให้มีตัวอย่างในมุมมองหลายๆ รูปแบบ                                                                                                                                                                                                                                                        ขอบคุณครับ",neg
390,เป็นประโยชน์ สามารถนำไปใช้งานในการทำ Presentation ได้,pos
391,เข้าใจง่ายดี อยากได้ Presentation ประกอบการเรียน,pos
392,สอนเข้าใจง่าย เรียงลำดับการอธิบายได้ดี,pos
393,ระบบการtrack สถานะการเรียนไม่ค่อยดี เรียนครบแล้วแต่ไม่นับว่าเรียนจบให้,neg
394,เข้าใจง่าย กระชับ ได้ภาพองค์รวม,pos
395,อาจารย์สอนดี มีภาพประกอบ,pos
396,น่าสนใจ,pos
397,เรียนเถอะ,pos
398,เป็นคอร์สเรียนที่ดี และมีคุณภาพมากค่ะ เนื้อหาที่สอนครอบคลุมในการเรียนสำหรับผู้ที่เริ่มเรียนพื้นฐานใหม่ แต่จะให้ดีควรมีการส่งการบ้านเพื่อให้ทางอาจารย์ หรือทีมงานไว้ปรึกษา และให้คำแนะนำก็จะดียิ่งกว่านี้ค่ะ,pos
399,ชอบการเรียงเนื้อหาและแบบฝึกหัดให้ได้พัฒนาการเรียนรู้ได้เป็นระบบ เห็นภาพชิ้นงานที่ทำได้ มีติดขัดในส่วนถามตอบอัพโหลดรูปไปถามไม่ได้ (เกิดเหตุขัดข้อง) แต่เนื้อหาและความรู้ที่ได้รับประทับใจมาก,pos
400,สอนเข้าใจง่ายมาก ชอบตรงมีแบบฝึกหัดให้ทำคั่นระหว่างเรียนเรื่อยๆ เหมือนได้ฝึกไปด้วย ได้ความรู้เพิ่มจากเดิมเยอะเลยค่ะ,pos
401,คืดเป็นครอสที่ดีมาก ได้ความรู้ใหม่และเทคนิคดีๆ เยอะเลย,pos
402,"เนื้อหาดี แน่น basic
สำหรับคนทำเว็บ แนะนำเลยครับ",pos
